Player,Wins
Justin Wong (Jwong),9
Seon-Woo Lee (Infiltration),6
Daigo Umehara (Daigo),6
Dominique McLean (SonicFox),5
Ryo Yoshida (BAS),4
Hajime Taniguchi (Tokido),3
Carl White (Perfect Legend),3
John Choi,3
Shinya Ohnuki (Nuki),3
Alex Valle (CaliPower),3
Leonardo Lopez (MKLeo),2
Arslan Siddique (Arslan Ash),2
Yusuke Momochi (Momochi),2
Omito Hashimoto (Omito),2
Jae-min Bae (Knee),2
Hyun-jin Kim (JDCR),2
Adam Lindgren (Armada),2
Joseph Marquez (Mango),2
Ryan Hart (ProdigalSon),2
Hiromiki Kumada (Itazan),2
Christopher Villarreal (Crow),2
Duc Do (Ducvader),2
Kenji Obata (KO),2
Jason Cole (Afro Cole),2
